date,opponent,result,period,playType,toucher,scoreAtTime,xG,xA,ShotDist
2026-08-31,TER,T 0-0,2,Interception,Álvaro Lezcano,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Pol Fortuny,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Álvaro Lezcano,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Cestero,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Tackle,Cestero,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Tackle,Pol Fortuny,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,O. Naasei,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Álvaro Lezcano,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Tackle,Jesús Fortea,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Jesús Fortea,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Mario Rivas,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Mario Rivas,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Álvaro Lezcano,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Mario Rivas,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Clearance,Cestero,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,Aerial,,0-0,0.00,0.0000,0.0
2026-08-31,TER,T 0-0,2,BallRecovery,,0-0,0.00,0.0000,0.0
